"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"579","CC BY-ND 2.0 PL","729000"
"580","CC BY-SA 2.0 PL","9180000"
"581","CC BY 2.0 TW","85600000"
"582","CC BY-NC 2.0 TW","15900000"
"583","CC BY-NC-ND 2.0 TW","15900000"
"584","CC BY-NC-SA 2.0 TW","1450000"
"585","CC BY-ND 2.0 TW","8770000"
"586","CC BY-SA 2.0 TW","31700000"
"587","CC BY 2.0 UK","274000000"
"588","CC BY-NC 2.0 UK","66500000"
"589","CC BY-NC-ND 2.0 UK","77300000"
"590","CC BY-NC-SA 2.0 UK","26200000"
"591","CC BY-ND 2.0 UK","61600000"
"592","CC BY-SA 2.0 UK","126000000"
"593","CC BY 2.0 ZA","32100000"
"594","CC BY-NC 2.0 ZA","2830000"
"595","CC BY-NC-ND 2.0 ZA","2790000"
"596","CC BY-NC-SA 2.0 ZA","726000"
"597","CC BY-ND 2.0 ZA","1320000"
