"LANGUAGE_CODE","LANGUAGE_NAME_EN","LANGUAGE_NAME","COUNT"
"su","Sundanese","Sunda","62253"
"sv","Swedish","svenska","2621122"
"sw","Swahili","Kiswahili","105554"
"syl","Sylheti","ꠍꠤꠟꠐꠤ","1215"
"szl","Silesian","ślůnski","59849"
"szy","Sakizaya","Sakizaya","2735"
"ta","Tamil","தமிழ்","180766"
"tay","Atayal","Tayal","2582"
"tcy","Tulu","ತುಳು","2992"
"tdd","Tai Nuea","ᥖᥭᥰ ᥖᥬᥲ ᥑᥨᥒᥰ","448"
"te","Telugu","తెలుగు","120052"
"tet","Tetum","tetun","1384"
"tg","Tajik","тоҷикӣ","116522"
"th","Thai","ไทย","179595"
"ti","Tigrinya","ትግርኛ","335"
"tig","Tigre","ትግሬ","43"
"tk","Turkmen","Türkmençe","7058"
"tl","Tagalog","Tagalog","48741"
"tly","Talysh","tolışi","10081"
"tn","Tswana","Setswana","3785"
"to","Tongan","lea faka-Tonga","2045"
"tok","Toki Pona","toki pona","3542"
"tpi","Tok Pisin","Tok Pisin","1405"
"tr","Turkish","Türkçe","665448"
"trv","Taroko","Seediq","1201"
"ts","Tsonga","Xitsonga","950"
"tt","Tatar","татарча / tatarça","609728"
"tum","Tumbuka","chiTumbuka","18802"
"tw","Twi","Twi","4618"
"ty","Tahitian","reo tahiti","1249"
"tyv","Tuvinian","тыва дыл","4125"
"udm","Udmurt","удмурт","5913"
"ug","Uyghur","ئۇيغۇرچە / Uyghurche","9683"
"uk","Ukrainian","українська","1407306"
"ur","Urdu","اردو","238925"
"uz","Uzbek","oʻzbekcha / ўзбекча","330268"
"ve","Venda","Tshivenda","822"
"vec","Venetian","vèneto","69562"
"vep","Veps","vepsän kel’","7094"
"vi","Vietnamese","Tiếng Việt","1298005"
"vls","West Flemish","West-Vlams","8276"
"vo","Volapük","Volapük","48034"
"vro","Võro","võro","6886"
"wa","Walloon","walon","12867"
"war","Waray","Winaray","1266850"
"wo","Wolof","Wolof","1745"
"wuu","Wu","吴语","47548"
"xal","Kalmyk","хальмг","1587"
"xh","Xhosa","isiXhosa","2322"
"xmf","Mingrelian","მარგალური","22094"
"yi","Yiddish","ייִדיש","15648"
"yo","Yoruba","Yorùbá","36468"
"yue","Cantonese","粵語","149164"
"za","Zhuang","Vahcuengh","3006"
"zea","Zeelandic","Zeêuws","7177"
"zgh","Standard Moroccan Tamazight","ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ","12124"
"zh","Chinese","中文","1522821"
"zu","Zulu","isiZulu","11898"
